Area_Numbe,Num_Homes,Growth_Std,Growth_Mean,Sales_Price_Std,Sales_Price_Mean,Black_Percentage,Population,Male_Proportion,Female_Proportion,Hispanic_Percentage,White_Percentage,Asian_Percentage,Income_Per_Capita,Poverty_Percentage
104,146,9413.84812744961,25018.311607141975,35910.50441725642,314779.1394932743,2.1458904109589048,7773.376712328767,0.49614728177402145,0.5038527182259785,5.53390410958904,71.48082191780823,17.102054794520544,39002.25,9.376369863013698
88,816,8919.391231350926,-1859.6121689655595,62971.45635701812,251332.13813415135,14.5,5781.5,0.4890599325434576,0.5109400674565424,9.700000000000003,63.54999999999998,10.049999999999999,28357.0,9.799999999999997
105,140,5991.417870851835,4989.796279574613,204534.1030693231,170735.88214285715,3.3000000000000007,9133.5,0.481578803306509,0.518421196693491,5.399999999999999,81.0,7.45,38087.0,4.100000000000001
76,919,5167.445410763319,-81.10472554679234,86099.52677731069,205087.23161174462,14.5,5781.5,0.4890599325434576,0.5109400674565424,9.700000000000001,63.54999999999999,10.049999999999999,28357.0,9.799999999999999
71,294,4341.115817257639,-75.99448749734026,96038.74907080329,175405.2167261893,0.5,3269.0,0.4689507494646681,0.5310492505353319,7.200000000000002,89.89999999999998,1.5999999999999996,33789.0,7.799999999999998
40,323,4515.408634389259,-474.98395385147046,80443.82592253151,158784.40583834666,0.5,3269.0,0.4689507494646681,0.5310492505353319,7.200000000000001,89.89999999999999,1.5999999999999999,33789.0,7.799999999999999
83,108,11131.536845918707,9576.847618432523,148264.16171163527,660523.753132716,4.716666666666667,4797.398148148148,0.498325674217699,0.501674325782301,5.414814814814815,83.68518518518522,3.975000000000002,38945.648148148146,14.348148148148145
69,775,4948.114607737321,3792.60151156695,127953.76966974048,281708.58120340126,6.0838709677419365,6073.172903225806,0.46055619754694843,0.5394438024530516,2.669290322580645,85.30864516129034,2.8116129032258073,37221.55741935484,10.685032258064515
41,819,4465.612402530202,-763.3728071775276,77140.47858423504,178845.1072948404,0.5,3269.0,0.4689507494646681,0.5310492505353319,7.200000000000001,89.9,1.6,33789.0,7.799999999999999
39,324,3731.0052146324665,-477.72947830587214,100506.6690725608,152694.9339382746,8.200000000000003,5691.0,0.43437005798629413,0.5656299420137059,2.5,82.60000000000002,2.6,34981.0,9.5
