Parcel,XCoord,YCoord,Total_Assessment
71003212215,842463.8994,493010.6546,218200
71003212223,842517.6927,493058.5745,214400
71003212231,842571.5595,493106.729,224800
71003212249,842626.0669,493155.0527,253100
71003213015,842273.9649,492859.8823,200000
71003213023,842200.4294,492838.8387,256300
71003213031,842175.4651,492745.5722,224800
71003213049,842075.3714,492693.9928,218600
71003213057,841978.8463,492708.5542,281100
71003213065,841962.4188,492830.7076,202200
71003213073,842020.6621,492923.1504,205100
71003213081,841973.8175,492985.5776,285600
71003213099,841967.1401,493075.2056,206100
71003213106,841969.3314,493162.9868,195100
71003213114,841980.6436,493259.4111,222600
71003213122,842087.6467,493295.6832,251600
71003213130,842032.8262,493353.7483,191500
71003213148,841973.2109999999,493410.4808,212700
71003213156,841962.8765,493510.0711,227300
71003213164,842011.3617,493587.0303,242900
71003213172,842106.4549,493610.2578,267400
71003213180,842177.3904,493534.4051,180800
71003213198,842200.2238,493417.7735,180100
71003213205,842260.1638,493472.1181,200500
71003213213,842348.7621,493528.7607,235100
71003213221,842289.7651,493587.0317,230100
71003213239,842207.5594,493650.6868,233900
71003213247,842204.3478,493739.7157,225100
71003213255,842285.2257,493822.0773,235800
71003214055,842453.2139,493242.2945,183700
71003214063,842398.3494,493193.5562,189900
71003214071,842344.0997,493144.9791,199300
71003214089,842288.6382,493095.6525,223600
71003214097,842232.5307,493033.4573,251500
71003214104,842152.6987,493054.669,235000
71003214112,842139.6857,493136.4914,218600
71003214120,842207.9229,493185.24299999996,217000
71003214138,842262.9369,493234.5156,206300
71003214146,842317.4135,493283.23299999995,194100
71003214154,842372.4874,493332.0949,220700
71003214162,842427.6517,493381.2589,207900
71003214170,842482.4203,493430.0797,208300
71003301068,844171.6493,491271.4944,235800
71003301076,844170.6693,491191.3222,245300
71003301084,844169.651,491112.0977,235000
71003301092,844320.1924,491145.8709,254000
71003301109,844427.7616,491172.1031,258300
71003301117,844522.0315,491129.3057,250100
71003301125,844525.5782,490976.5005,226800
71003301133,844449.7745,490926.9913,259700
71003301141,844351.5804,490942.8424,219800
71003301159,844272.6816,490946.1952,270400
