Parcel,Latitude,Longitude
71002315185,43.09293865718419,-89.2798136614709
71002315193,43.09274872887387,-89.27990763528945
71002315200,43.09248813452172,-89.27997269800343
71002315218,43.092440023507464,-89.28021019514844
71002316018,43.09243162554869,-89.27948441039932
71002316026,43.092653970045845,-89.27932795699373
71002316034,43.09282450174209,-89.27921690622262
71002316042,43.09301235440301,-89.27917018966464
71002316050,43.0932116728812,-89.27916792753979
71002316068,43.09340101094932,-89.27916255607069
71002316076,43.093590362751684,-89.27915719371823
71002316084,43.09377971410375,-89.27915183136578
71002316092,43.09396906606122,-89.27914646869164
71002316109,43.0941667928571,-89.27913810700315
71002316117,43.09416116794313,-89.27877489541544
71002316125,43.09396338340181,-89.2787711007773
71002316133,43.093774031873,-89.27877646328456
71002316141,43.093584680189075,-89.27878182549746
71002316159,43.09339532828991,-89.27878718815636
71002316167,43.093211464979724,-89.27879239515272
71002316175,43.093033090111895,-89.27879744675687
71002316183,43.092850096204096,-89.2788010010417
71002316191,43.09266713498514,-89.27889752488863
71002316208,43.09245667800519,-89.2789717203382
71002316216,43.09244106575479,-89.27924561364136
71002317016,43.09856985957016,-89.27600894409719
71002317024,43.09846105832984,-89.27600951323372
71002317032,43.098358694366794,-89.27601211788634
71002317040,43.098256347318404,-89.27601478169103
71002317058,43.09814321503173,-89.27603951145157
71002400986,43.09764245585365,-89.26807503721828
71002401017,43.09347019400793,-89.26932903577693
71002401025,43.093247919615486,-89.26937770881787
71002401033,43.09297417319534,-89.26922440078452
71002401041,43.09296275200665,-89.26961899706215
71002401059,43.09273541954312,-89.26977528666448
71002401067,43.0924343208362,-89.26987011167132
71002401075,43.09234764315646,-89.26954202761537
71002401083,43.092395429196024,-89.26915795138942
71002401926,43.09355366662055,-89.27073181727643
71002401950,43.09286354537544,-89.27057537081849
71002402015,43.093616007256074,-89.26857601354679
71002402023,43.09342550968771,-89.26856978990142
71002402031,43.09324462944439,-89.26855447602387
71002402049,43.093063747555114,-89.26853916221708
71002402057,43.0928828658614,-89.26852384764403
71002402065,43.09270198359795,-89.26850853328146
71002402073,43.09252110184036,-89.26849322044984
71002402081,43.092339654843364,-89.26847836100937
71002403013,43.094686239939705,-89.2716169462204
71002403021,43.09491095132601,-89.27161327009466
71002403039,43.09511132926166,-89.27161077622637
71002403047,43.09531170854129,-89.27160828319835
71002403055,43.09551208550909,-89.27160579050816
71002403063,43.09571581890157,-89.27160007492887
71002403071,43.09645700517953,-89.27113636997923
71002403089,43.09623691144127,-89.27114614169359
71002403097,43.0960502569346,-89.27114835005321
71002403104,43.09586362641343,-89.27115049239502
71002403112,43.09567660373707,-89.27115128609671
71002403120,43.095445110924885,-89.27115956377138
71002403138,43.09515662475205,-89.27100815086035
71002403146,43.0950389198334,-89.27049534247837
71002403154,43.09475696683771,-89.27063069792327
71002403162,43.09476566878285,-89.27095397398213
71002403170,43.09475902410197,-89.27123217439257
71002403188,43.09592004254432,-89.27158969866788
71002403196,43.09620113389464,-89.27150533524326
71002405019,43.09417726109323,-89.2730953238098
71002405225,43.09428092052627,-89.27226923370844
71002405233,43.094082554699206,-89.27226939949328
71002405241,43.09389316547539,-89.27227184382546
71002405259,43.09370378155002,-89.27227430312921
71002405267,43.09351988722432,-89.27227669113918
71002405275,43.09334252773539,-89.27230447310986
71002405283,43.093164094386694,-89.27229424235283
71002405291,43.0929856685234,-89.27228404140794
71002405308,43.092802402254975,-89.2722758341211
71002405316,43.09272677270342,-89.27250285978013
71002405324,43.092946724671116,-89.27261309316289
71002405332,43.093112129421364,-89.2726756788771
71002405340,43.09327055879652,-89.27273565298944
71002405358,43.09340376151863,-89.27288489317635
71002405366,43.09356364632556,-89.27299318878603
71002405374,43.0937235337911,-89.27310147741827
71002405382,43.093839274692925,-89.2727400355248
71002406190,43.091912098721615,-89.27337700410774
71002406207,43.09191464592368,-89.27317899867374
71002406215,43.091920230486146,-89.27298754345753
71002406223,43.091965477236016,-89.2727894707871
71002406249,43.09208630805962,-89.27297127340158
71002406257,43.092188505669576,-89.27286505966049
71002406265,43.092314987228356,-89.27288200153187
71002406273,43.092439513575016,-89.27292245017806
71002406281,43.09255971993225,-89.27297751431855
71002406299,43.09267688794493,-89.27304170172253
71002406306,43.092790475007824,-89.27311370310501
71002406314,43.09290142536285,-89.27318835742088
71002406322,43.09301211681022,-89.27326332618293
71002406330,43.09312280795673,-89.27333829530178
71002406348,43.093233499108464,-89.27341326462076
71002406356,43.09334419026016,-89.27348823393969
71002406364,43.093481025659315,-89.27359291292157
